"X" "Y"
"995" 752623 4431688
"996" 753732 4430636
"997" 752623 4431688
"998" 752450 4429820
"999" 753406 4430592
"1000" 752634 4429944
"1001" 752823 4430017
"1002" 752823 4430017
"1003" 752839 4430900
"1004" 753264 4430902
"1005" 752494 4429794
"1006" 752494 4429794
"1007" 752522 4430470
"1008" 753123 4431173
"1009" 753788 4431348
"1010" 753149 4430588
"1011" 753980 4431717
"1012" 752840 4430656
"1013" 753416 4430602
"1014" 752966 4429865
"1015" 752750 4432198
"1016" 752822 4431093
"1017" 752778 4430765
"1018" 753207 4430433
"1019" 753742 4431240
"1020" 753265 4431364
"1021" 753827 4430859
"1022" 752730 4432180
"1023" 752750 4430676
"1024" 752325 4429743
"1025" 752839 4430900
"1026" 752951 4430212
"1027" 753142 4430570
"1028" 752616 4430732
"1029" 752616 4430732
"1030" 751746 4430747
"1031" 752165 4430899
"1032" 751792 4430740
"1033" 753859 4430246
"1034" 753174 4430636
"1035" 752355 4429960
"1036" 752725 4430263
"1037" 752620 4430705
"1038" 752620 4430705
"1039" 753551 4430808
"1040" 750999 4431453
"1041" 753324 4431406
"1042" 751930 4429248
"1043" 752398 4429942
"1044" 752891 4430104
"1045" 753297 4430411
"1046" 752181 4429810
"1047" 752181 4429810
"1048" 753358 4430997
"1049" 751847 4429849
"1050" 752252 4429645
"1051" 752778 4430960
"1052" 752329 4430273
"1053" 752395 4429732
"1054" 753585 4430609
"1055" 751857 4430646
"1056" 752640 4429920
"1057" 751794 4430441
"1058" 752821 4430576
"1059" 751845 4430542
"1060" 752774 4429915
"1061" 753217 4429999
"1062" 752774 4429915
"1063" 753076 4430504
"1064" 752018 4429626
"1065" 752018 4429626
"1066" 752947 4430563
"1067" 753050 4431422
"1068" 752024 4430795
"1069" 753684 4430017
"1070" 752836 4432069
"1071" 753730 4430552
"1072" 752608 4430792
"1073" 752589 4429981
"1074" 753641 4429883
"1075" 753641 4429883
"1076" 752636 4430806
"1077" 753426 4431382
"1078" 752827 4430175
"1079" 753707 4430478
"1080" 752054 4430737
"1081" 752585 4430527
"1082" 753765 4431329
"1083" 753381 4431530
"1084" 750968 4430701
"1085" 753144 4430970
"1086" 753144 4430970
"1087" 750733 4431176
"1088" 753853 4430172
"1089" 753123 4431173
"1090" 752951 4429848
"1091" 753125 4430373
"1092" 753101 4430337
"1093" 751897 4429285
"1094" 752856 4431199
"1095" 750796 4430988
"1096" 750796 4430988
"1097" 752136 4429983
"1098" 753279 4431436
"1099" 752110 4429156
"1100" 753011 4429842
"1101" 752160 4429843
"1102" 753556 4431525
"1103" 751841 4429310
"1104" 753156 4430758
"1105" 751867 4430844
"1106" 750828 4431202
"1107" 752959 4430428
"1108" 752959 4430428
"1109" 753547 4431780
"1110" 752600 4430139
"1111" 753352 4431412
"1112" 753488 4431264
"1113" 751732 4429767
"1114" 753547 4431780
"1115" 752685 4430877
"1116" 752685 4430877
"1117" 752956 4430221
"1118" 753057 4430510
"1119" 752141 4430906
"1120" 752663 4429875
"1121" 752409 4429938
"1122" 751488 4430317
"1123" 753425 4429245
"1124" 753786 4430559
