"cx" "cy"
"628" 752457.0799 4429321.371
"629" 752457.5747 4429180.199
"630" 752457.7394 4429506.834
"631" 752458.4802 4432038.029
"632" 752458.8936 4429896.956
"633" 752460.1299 4430935.149
"634" 752461.2018 4431106.915
"635" 752461.3673 4430084.019
"636" 752461.8618 4430534.029
"637" 752462.9337 4430533.729
"638" 752464.9949 4431116.912
"639" 752470.4368 4431722.292
"640" 752473.0752 4432312.374
"641" 752474.9732 4429606.314
"642" 752475.7141 4431805.075
"643" 752476.375 4429606.614
"644" 752479.0949 4431801.076
"645" 752479.3439 4428998.036
"646" 752480.5805 4429498.236
"647" 752480.91 4429951.345
"648" 752481.6517 4430809.374
"649" 752482.6411 4431005.335
"650" 752482.7243 4429718.192
"651" 752485.8575 4430142.907
"652" 752489.4863 4428990.037
"653" 752493.0301 4432467.843
"654" 752494.1036 4429596.216
"655" 752496.3291 4431220.592
"656" 752503.5032 4430877.66
"657" 752503.6673 4432267.483
"658" 752503.751 4430002.935
"659" 752507.2957 4431967.243
"660" 752507.7085 4431082.919
"661" 752509.7698 4431236.989
"662" 752511.3375 4429586.118
"663" 752511.9132 4432291.378
"664" 752512.4905 4432066.723
"665" 752515.4589 4432329.77
"666" 752515.9544 4430916.353
"667" 752518.4285 4430226.191
"668" 752518.5107 4430786.179
"669" 752519.0877 4431120.312
"670" 752519.3345 4432244.587
"671" 752520.9015 4431750.486
"672" 752523.7874 4431943.747
"673" 752525.3548 4430621.711
"674" 752525.4376 4430057.124
"675" 752525.7668 4431290.478
"676" 752526.0977 4429236.788
"677" 752527.2521 4429378.96
"678" 752527.3335 4431192.297
"679" 752529.1476 4431152.505
"680" 752529.9726 4430401.056
"681" 752530.4674 4430402.655
"682" 752532.2804 4432291.478
"683" 752532.7767 4429573.521
"684" 752534.343 4430346.466
"685" 752534.5904 4430344.867
"686" 752537.3111 4430982.839
"687" 752537.9701 4432208.794
"688" 752541.021 4432290.978
"689" 752544.567 4431913.953
"690" 752546.8767 4430266.882
"691" 752546.9592 4430266.682
"692" 752547.0419 4429786.878
"693" 752547.3717 4429787.278
"694" 752548.4438 4429599.416
"695" 752548.6083 4430458.444
"696" 752550.7518 4431153.505
"697" 752550.9166 4431374.561
"698" 752551.5766 4430765.483
"699" 752552.6489 4430117.712
"700" 752552.8132 4431206.795
"701" 752553.8033 4430223.991
"702" 752553.9682 4430223.091
"703" 752555.7819 4430903.055
"704" 752556.0285 4432268.182
"705" 752560.9764 4431691.698
"706" 752561.9657 4431888.858
"707" 752562.5437 4430500.636
"708" 752562.956 4430501.835
"709" 752563.4516 4429051.225
"710" 752564.0285 4429628.11
"711" 752565.5949 4430151.705
"712" 752567.3253 4432377.961
"713" 752568.4814 4429412.853
"714" 752570.2119 4431438.948
"715" 752572.439 4430110.314
"716" 752572.7688 4430108.214
"717" 752574.5006 4429775.381
"718" 752575.8193 4430966.942
"719" 752576.1484 4432354.565
"720" 752583.2401 4431858.564
"721" 752584.4776 4430744.887
"722" 752584.9724 4430703.995
"723" 752585.7973 4430031.629
"724" 752585.8801 4429453.345
"725" 752585.9622 4430030.729
"726" 752587.0343 4429829.57
"727" 752587.9403 4431655.105
"728" 752589.177 4432108.314
"729" 752590.2502 4429839.868
"730" 752591.3216 4430891.158
"731" 752591.9821 4429291.177
"732" 752592.3119 4429432.349
"733" 752594.2078 4430598.016
"734" 752594.2902 4430598.416
"735" 752596.8468 4429964.143
"736" 752596.929 4430493.537
"737" 752597.2583 4431379.06
"738" 752597.4234 4431036.928
"739" 752597.5883 4431036.829
"740" 752598.0836 4430139.008
"741" 752599.733 4429701.795
"742" 752606.6597 4429444.247
"743" 752606.8236 4431247.486
"744" 752607.5657 4431238.188
"745" 752607.6489 4429895.956
"746" 752607.7314 4429895.856
"747" 752608.3897 4432301.776
"748" 752609.4619 4431933.249
"749" 752611.3588 4431185.999
"750" 752611.6887 4431186.199
"751" 752612.3479 4431955.045
"752" 752613.7501 4431156.604
"753" 752613.998 4430252.485
"754" 752616.8016 4430208.294
"755" 752618.2854 4431088.918
"756" 752621.8313 4430803.375
"757" 752622.3259 4431079.62
"758" 752622.7394 4428885.758
"759" 752622.9862 4429868.062
"760" 752624.8004 4429754.385
"761" 752626.2846 4429753.785
"762" 752628.8403 4430708.494
"763" 752629.1697 4431599.216
"764" 752629.4175 4430708.294
"765" 752629.4991 4432267.682
"766" 752629.5819 4431600.416
"767" 752631.4799 4429107.514
"768" 752633.1288 4429563.623
"769" 752633.3756 4430564.123
"770" 752633.4586 4429564.323
"771" 752634.6951 4430319.372
"772" 752635.3539 4431868.862
"773" 752635.4373 4430124.511
"774" 752635.9311 4431944.847
"775" 752637.0032 4431580.62
"776" 752637.9103 4431445.547
"777" 752638.158 4431015.833
"778" 752638.9001 4431045.527
"779" 752642.611 4430582.019
"780" 752646.9807 4431658.504
"781" 752648.3007 4430370.561
"782" 752649.5375 4430595.617
"783" 752649.7852 4429942.047
"784" 752651.4345 4429743.287
"785" 752652.7526 4431933.249
